calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,73.41,36.0,114.85,114.43,83.63,138.52,3.88,0.1,8.0,84.97,77.0,93.0,-10.3,13.6
2,2,Feb,69.69,34.3,112.0,146.32,113.86,177.84,4.52,1.01,8.49,82.29,74.0,91.0,-6.7,14.5
3,3,Mar,68.13,44.05,101.75,213.07,177.78,248.89,5.62,2.4,9.3,80.51,72.0,90.0,-6.6,18.3
4,4,Apr,50.04,17.5,93.0,281.49,236.0,323.27,7.49,4.3,10.61,77.43,67.0,88.0,-3.4,22.0
5,5,May,68.82,36.1,112.25,323.45,285.97,356.21,10.52,7.1,13.8,77.45,66.0,89.0,-0.7,25.1
6,6,Jun,71.88,36.5,125.4,316.39,260.59,359.03,13.3,10.6,16.41,77.67,68.0,89.0,4.3,26.9
7,7,Jul,89.62,60.7,119.95,318.09,265.42,358.63,15.08,12.55,17.8,78.64,70.0,89.0,7.2,28.9
8,8,Aug,82.84,47.75,124.65,298.16,255.63,332.57,14.65,12.4,17.0,79.51,71.0,89.0,4.5,29.4
9,9,Sep,68.35,36.55,100.4,231.87,212.33,257.32,12.83,9.99,15.7,80.75,72.9,89.0,2.6,24.9
10,10,Oct,94.2,49.4,143.55,164.9,138.64,187.8,10.08,7.0,13.2,83.08,75.0,91.0,-0.3,19.1
11,11,Nov,78.83,37.4,130.1,126.5,101.58,152.97,6.64,2.2,10.7,85.47,78.0,93.0,-3.8,16.2
12,12,Dec,95.57,53.7,141.05,83.65,65.35,106.35,4.88,0.4,9.35,86.28,79.0,93.0,-11.7,14.6
