calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,1.9123662927211063,-4.1,7.7,3833
2,Feb,3.3549881235154393,-3.1,9.20999999999999,4210
3,Mar,6.646486972147349,0.4,12.9,5565
4,Apr,11.235758538522639,4.7,18.4,6295
5,May,15.759505261719282,9.3,22.5,7317
6,Jun,19.876692810457516,13.6,26.3,7650
7,Jul,21.33550544119575,15.6,27.5,7627
8,Aug,21.591822326812764,15.8,28.0,6799
9,Sep,17.505671641791047,12.0,23.9,5695
10,Oct,12.361871961102107,7.3,17.6,4936
11,Nov,6.8859003255697475,1.6,12.080000000000018,3993
12,Dec,3.5493154761904764,-1.8,8.8,3360
