calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,69.59,43.8,109.3,161.47,132.4,183.95,-9.75,-19.0,-1.4,76.49,65.0,89.0,-32.6,7.8
2,2,Feb,69.48,29.35,97.9,183.2,155.54,209.28,-8.63,-16.5,-0.7,74.33,63.0,86.0,-31.6,13.5
3,3,Mar,76.72,48.25,113.1,244.36,210.38,274.48,-2.66,-11.0,3.55,69.73,53.0,86.0,-23.4,23.1
4,4,Apr,108.93,74.8,150.9,258.5,215.0,307.66,4.61,-0.31,10.0,64.95,47.0,86.0,-12.1,25.4
5,5,May,89.61,30.4,146.1,314.77,249.13,355.87,12.82,7.1,18.7,65.28,48.0,84.0,-2.4,33.5
6,6,Jun,114.4,72.15,148.6,324.75,297.91,348.97,17.73,13.58,22.1,68.49,52.0,84.0,3.5,33.2
7,7,Jul,93.58,50.55,129.1,376.28,337.53,401.59,20.98,17.8,24.2,70.29,59.0,82.0,9.8,33.3
8,8,Aug,113.3,66.15,185.4,346.26,308.84,371.66,19.7,16.5,22.9,73.03,63.0,85.0,8.7,33.2
9,9,Sep,91.36,42.45,157.05,281.32,252.55,307.2,15.69,11.0,20.4,74.34,63.0,84.1,2.8,30.5
10,10,Oct,118.78,66.25,174.85,215.53,185.86,252.9,9.14,3.8,14.5,74.19,61.0,88.0,-4.6,28.0
11,11,Nov,77.91,52.8,104.85,164.92,124.85,191.03,1.3,-4.2,7.2,74.11,58.0,90.0,-17.2,21.4
12,12,Dec,93.58,71.3,126.65,135.13,121.92,151.65,-5.42,-13.5,1.55,76.73,60.0,90.0,-30.4,13.8
