calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,24.68,21.8,27.3,5456
2,Feb,25.5,22.5,27.8,4972
3,Mar,26.26,23.5,28.6,5915
4,Apr,27.44,25.1,29.6,6240
5,May,28.34,26.0,30.5,6448
6,Jun,28.36,26.2,30.5,6240
7,Jul,29.1,27.0,31.1,6448
8,Aug,29.14,27.0,31.23,6448
9,Sep,28.53,26.3,30.7,5822
10,Oct,27.46,25.2,29.6,5952
11,Nov,26.19,23.9,28.4,5556
12,Dec,25.49,22.8,27.7,5456
