calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,15.25,10.6,19.1,4976
2,Feb,15.61,11.7,19.2,4981
3,Mar,16.79,12.61,20.5,5952
4,Apr,18.78,14.7,22.9,6284
5,May,21.24,16.8,26.2,6944
6,Jun,23.24,19.2,27.7,6720
7,Jul,24.84,20.7,29.0,6944
8,Aug,25.61,21.4,29.9,6808
9,Sep,24.42,20.9,27.8,5760
10,Oct,22.64,18.3,27.0,5644
11,Nov,18.79,14.5,22.8,4996
12,Dec,16.32,11.9,20.3,4960
