calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,69.13,9.0,169.65,266.83,228.17,289.09,12.73,9.2,16.3,59.97,28.0,85.0,-1.9,31.8
2,2,Feb,66.97,4.4,127.2,261.68,211.68,290.17,13.27,9.1,17.6,60.24,30.1,85.0,-0.8,32.4
3,3,Mar,62.06,16.85,116.65,323.03,280.99,349.71,14.57,10.85,18.6,64.98,38.5,83.0,2.5,34.4
4,4,Apr,16.57,2.7,38.4,341.76,315.87,363.47,16.78,13.3,21.1,60.29,34.0,78.1,2.7,37.4
5,5,May,7.93,1.3,22.2,372.09,325.39,410.5,18.25,15.3,22.35,63.25,46.0,75.0,7.3,39.6
6,6,Jun,3.79,0.0,4.7,384.07,343.23,418.07,20.96,18.2,24.3,62.65,47.9,74.0,9.0,43.0
7,7,Jul,3.07,0.0,8.15,411.66,396.22,429.73,23.35,20.7,26.3,61.8,49.0,71.0,13.4,45.1
8,8,Aug,6.22,0.0,4.15,386.44,363.31,403.13,24.28,21.35,27.75,59.57,45.0,72.0,13.2,42.1
9,9,Sep,9.1,0.5,28.15,336.12,318.42,354.73,23.5,19.7,27.91,60.06,40.0,76.0,11.5,45.7
10,10,Oct,14.55,1.15,38.25,315.15,286.46,334.24,20.29,16.6,24.7,57.14,28.0,80.0,6.2,40.5
11,11,Nov,32.9,2.25,52.55,275.97,263.19,293.63,16.05,12.0,20.3,53.56,23.0,82.1,2.3,35.4
12,12,Dec,82.58,3.05,191.7,253.28,217.98,287.76,12.78,8.9,16.0,60.65,26.0,87.0,0.3,29.4
