calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,66.15,19.9,123.4,232.05,201.03,270.49,11.72,8.75,14.55,81.44,68.5,92.0,1.5,19.5
2,2,Feb,61.78,7.15,144.5,237.46,192.99,260.27,12.07,9.62,14.3,78.29,65.0,89.0,2.3,22.4
3,3,Mar,72.41,21.6,164.85,301.81,267.09,333.11,13.42,11.4,15.65,76.01,62.0,88.0,3.5,26.2
4,4,Apr,60.62,19.65,109.4,335.75,311.9,359.38,15.49,12.8,18.51,75.31,63.0,86.1,7.2,30.7
5,5,May,38.27,9.9,77.7,387.18,370.4,400.92,18.09,14.9,21.75,70.82,57.0,83.0,9.1,35.5
6,6,Jun,13.36,2.4,24.25,403.38,380.34,419.39,20.25,17.3,23.91,70.39,59.0,80.0,11.8,40.7
7,7,Jul,2.51,0.1,6.15,415.67,405.36,426.01,22.16,19.6,25.5,68.44,55.0,78.0,12.9,38.7
8,8,Aug,1.84,0.0,5.4,387.97,370.85,400.3,22.64,20.5,25.5,68.03,55.0,79.5,14.9,41.5
9,9,Sep,33.33,3.25,81.15,332.9,317.1,347.31,21.28,18.8,24.4,71.12,55.0,85.0,12.1,35.7
10,10,Oct,77.64,45.05,115.6,280.98,249.98,309.91,19.05,16.4,22.2,76.15,59.0,89.0,9.2,32.8
11,11,Nov,93.83,23.6,164.0,226.22,197.34,253.57,14.84,12.0,17.5,80.61,69.0,91.0,6.3,23.0
12,12,Dec,79.1,18.5,165.25,228.68,207.25,257.5,12.62,9.8,15.4,82.85,72.0,92.0,3.3,20.5
