calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute,temperature_2m_mean_min,temperature_2m_mean_max
1,1,Jan,63.04666666666665,13.54,133.04,257.31387166666667,231.08014,274.715665,12.991182795698924,10.540000000000001,15.3,72.43870967741935,56.0,87.0,2.0,30.0,2.0,30.0
2,2,Feb,57.08,9.080000000000002,118.88000000000001,259.78261092592595,227.36893944444444,277.83846555555556,13.133018867924527,10.2,15.969999999999999,71.62971698113208,51.0,86.0,1.8,30.3,1.8,30.3
3,3,Mar,50.79333333333333,21.46,107.82000000000001,312.3912407407407,284.95736944444445,335.9948038888889,14.130752688172041,11.74,16.76,76.18494623655914,62.0,87.0,4.0,30.8,4.0,30.8
4,4,Apr,21.413333333333334,2.2800000000000002,46.36,331.6812855555556,302.8588022222222,352.28264666666666,15.558444444444444,13.4,18.0,73.68,62.900000000000006,84.0,5.9,32.9,5.9,32.9
5,5,May,13.093333333333335,1.3,34.35999999999999,352.5011322222222,308.2886794444445,391.6529466666667,16.56774193548387,14.9,18.4,73.90107526881721,66.4,80.0,9.1,33.0,9.1,33.0
6,6,Jun,1.2133333333333334,0.0,4.039999999999998,363.46097592592594,315.08645722222224,399.693135,18.28044444444444,16.5,20.3,76.94444444444444,72.0,81.0,11.3,31.8,11.3,31.8
7,7,Jul,3.52,0.0,14.079999999999993,377.4806457407407,351.44531166666667,405.4665244444444,20.466666666666665,18.14,22.660000000000004,78.13978494623656,75.0,82.0,13.1,35.7,13.1,35.7
8,8,Aug,5.48,0.0,17.66,359.5261803703704,331.21349166666664,379.4669783333333,21.354408602150535,18.9,23.5,78.50752688172042,74.0,82.0,13.4,31.5,13.4,31.5
9,9,Sep,7.346666666666668,0.040000000000000015,15.16,321.75646592592597,300.78179,342.7381688888889,21.170666666666666,18.5,24.110000000000003,77.35777777777778,69.9,84.0,12.2,36.5,12.2,36.5
10,10,Oct,14.546666666666663,1.32,29.919999999999995,301.703655,283.9138472222222,320.87500555555556,19.10989247311828,16.4,21.9,73.32688172043011,56.0,85.0,8.5,33.7,8.5,33.7
11,11,Nov,29.76666666666667,2.3000000000000007,74.38,265.38544777777776,253.79531777777777,278.22381666666666,15.952444444444446,13.3,18.9,66.99111111111111,41.0,85.0,5.5,31.9,5.5,31.9
12,12,Dec,62.10666666666667,6.6800000000000015,133.94,245.10168944444442,220.70575055555557,269.6433666666667,13.201075268817204,10.7,15.7,71.12258064516129,50.0,87.60000000000002,3.4,26.8,3.4,26.8
