calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,30.36,2.1,61.55,280.54,250.42,305.19,12.82,10.1,15.65,77.47,66.0,88.0,1.8,26.5
2,2,Feb,28.72,2.95,50.4,275.67,259.01,293.71,16.66,13.4,20.3,68.01,52.0,81.0,3.5,30.9
3,3,Mar,23.67,0.6,65.85,346.08,322.48,361.94,22.22,17.8,26.9,55.95,40.0,74.0,7.6,38.6
4,4,Apr,10.36,2.0,19.9,345.57,330.04,357.71,28.71,24.7,32.5,36.13,20.0,55.0,14.7,44.3
5,5,May,24.76,1.1,36.05,361.58,312.8,397.15,32.07,28.6,35.2,37.85,21.0,57.5,18.7,46.1
6,6,Jun,56.26,7.65,114.55,338.71,285.77,375.33,33.06,29.3,36.6,50.96,28.0,74.0,19.9,44.8
7,7,Jul,216.32,114.9,325.4,277.53,251.49,303.15,29.76,27.45,32.3,76.99,64.0,87.5,23.8,42.0
8,8,Aug,180.59,90.0,261.45,266.73,224.54,311.25,28.74,26.95,30.45,80.78,69.0,89.0,23.8,39.9
9,9,Sep,131.22,47.8,251.2,297.76,268.43,333.57,28.14,26.1,30.3,76.31,60.0,88.0,19.3,38.3
10,10,Oct,15.87,0.0,39.65,329.9,309.63,340.2,25.41,22.65,27.8,63.53,51.0,75.0,14.1,36.8
11,11,Nov,4.54,0.0,14.65,300.3,286.85,314.55,20.24,17.39,23.2,62.6,51.0,73.0,8.4,32.1
12,12,Dec,7.52,0.0,14.25,288.45,260.31,304.82,14.9,11.9,17.9,69.71,55.0,82.0,2.4,27.8
