calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,50.02,31.05,63.25,83.63,57.15,106.74,-1.23,-8.45,4.6,85.12,74.0,94.0,-27.1,16.7
2,2,Feb,41.34,14.6,79.2,130.62,83.99,156.24,0.06,-6.7,5.8,81.51,69.0,91.0,-25.9,16.9
3,3,Mar,36.44,22.0,54.0,223.86,180.67,263.77,3.91,-1.55,9.2,73.59,59.0,86.0,-18.6,24.4
4,4,Apr,46.65,16.8,70.05,287.76,244.75,327.34,9.29,4.0,14.9,68.27,54.0,83.0,-8.8,28.7
5,5,May,79.08,45.95,127.0,337.62,277.28,400.98,14.27,9.2,19.5,67.59,51.0,84.0,-2.9,30.4
6,6,Jun,70.86,34.45,111.65,364.72,329.28,403.89,18.83,14.59,23.1,66.94,53.0,81.0,5.2,34.8
7,7,Jul,92.41,40.75,127.1,360.75,326.06,396.66,20.24,16.3,24.35,69.53,57.0,83.0,9.0,35.7
8,8,Aug,76.44,44.55,108.7,343.54,314.42,372.33,19.93,15.9,24.4,69.61,56.0,83.0,7.4,34.9
9,9,Sep,56.27,15.75,87.0,256.04,202.4,297.44,15.17,10.89,19.51,75.02,64.0,87.0,1.3,33.1
10,10,Oct,51.57,14.85,105.85,188.64,149.28,227.86,9.51,5.15,14.4,81.04,69.5,91.0,-6.0,24.7
11,11,Nov,42.38,19.35,63.4,99.59,80.69,125.65,4.85,-0.11,9.41,86.7,78.0,95.0,-12.8,18.5
12,12,Dec,48.8,27.5,76.85,75.15,52.99,100.74,1.06,-4.6,6.35,86.72,75.0,96.0,-19.8,13.0
