calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,1.69,-3.9,7.3,4372
2,Feb,3.16,-3.8,9.4,4576
3,Mar,7.32,0.52,14.0,5933
4,Apr,11.83,4.6,19.5,6622
5,May,15.88,9.5,22.4,7516
6,Jun,20.27,13.9,26.9,8160
7,Jul,22.2,16.2,28.5,7851
8,Aug,22.0,15.6,29.0,7173
9,Sep,17.51,11.3,24.2,6095
10,Oct,12.34,7.1,18.2,5280
11,Nov,6.71,1.4,12.2,4408
12,Dec,3.15,-2.1,8.7,4266
