calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,16.28,10.1,21.5,5456
2,Feb,17.7,10.9,23.7,4972
3,Mar,21.08,13.5,28.4,5992
4,Apr,24.9,16.3,32.9,6240
5,May,28.9,19.8,36.7,6672
6,Jun,31.06,22.1,38.0,6764
7,Jul,32.61,24.2,38.6,6607
8,Aug,32.78,24.9,38.1,6448
9,Sep,30.72,23.2,36.4,5998
10,Oct,27.18,20.5,32.7,5770
11,Nov,22.93,16.7,28.2,4992
12,Dec,18.09,12.0,22.8,5104
