calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,16.69,12.4,21.3,5456
2,Feb,17.55,12.5,23.0,4972
3,Mar,19.67,14.2,25.2,6009
4,Apr,22.74,17.8,27.6,6240
5,May,26.01,21.9,30.1,6448
6,Jun,28.64,25.2,31.8,6240
7,Jul,30.1,27.0,33.0,6448
8,Aug,29.66,26.6,32.5,6448
9,Sep,28.23,24.81,31.7,5972
10,Oct,24.95,21.5,28.99,5932
11,Nov,22.36,18.7,26.4,5280
12,Dec,17.98,13.9,22.2,5456
