calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,-8.98,-19.03,0.0,4468
2,Feb,-7.59,-16.6,1.1,4784
3,Mar,-1.09,-10.0,6.6,5939
4,Apr,6.21,-0.7,13.7,6422
5,May,14.29,6.5,22.2,7440
6,Jun,19.07,12.8,25.1,7200
7,Jul,22.26,17.1,27.1,7440
8,Aug,21.05,16.0,25.9,6986
9,Sep,17.14,11.0,23.3,6032
10,Oct,10.57,4.4,17.1,5366
11,Nov,2.48,-3.7,9.2,4622
12,Dec,-4.56,-13.0,2.9,4464
