calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,7.83,0.45,15.4,305.22,292.21,322.5,13.98,11.0,16.6,58.04,42.0,72.0,1.0,28.1
2,2,Feb,17.16,0.25,47.1,297.65,271.32,311.07,15.9,12.2,18.9,53.54,35.0,70.0,1.6,31.2
3,3,Mar,13.63,0.05,23.9,351.33,333.88,361.41,18.08,14.6,21.1,48.42,31.0,66.0,-1.0,33.5
4,4,Apr,16.49,4.75,35.7,355.4,347.88,361.89,20.43,17.5,22.9,45.33,27.9,62.0,6.7,33.6
5,5,May,38.15,6.75,75.55,375.6,359.42,387.49,21.34,18.5,24.3,52.74,32.5,70.0,6.1,36.7
6,6,Jun,113.05,49.4,191.4,332.83,299.01,356.86,19.76,17.4,22.5,66.92,49.0,84.0,9.7,35.2
7,7,Jul,107.66,59.0,190.95,337.47,314.64,371.13,18.52,17.15,20.15,73.7,62.0,84.0,10.6,31.4
8,8,Aug,90.24,59.6,123.9,335.52,314.0,354.53,18.76,17.5,20.1,72.36,63.0,83.0,11.2,30.5
9,9,Sep,107.26,56.1,175.35,303.48,281.26,325.22,18.06,16.6,19.8,75.19,63.0,86.0,4.0,31.4
10,10,Oct,44.91,6.95,90.6,306.42,284.36,331.55,17.05,15.05,19.1,69.79,57.0,82.0,3.2,29.4
11,11,Nov,13.42,0.55,29.8,301.68,271.67,321.51,15.58,12.9,18.2,65.92,51.0,80.1,-1.5,29.2
12,12,Dec,5.77,0.05,8.55,311.56,297.28,327.9,14.47,11.5,16.8,61.08,46.0,74.5,-0.1,26.7
