calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,5.59,0.8,10.2,4238
2,Feb,6.81,1.8,11.4,4520
3,Mar,8.66,3.7,13.3,5928
4,Apr,11.27,6.2,16.5,6675
5,May,14.3,9.3,19.6,7704
6,Jun,17.34,12.2,22.8,8160
7,Jul,19.5,14.7,24.7,8040
8,Aug,19.13,14.6,23.6,7228
9,Sep,16.88,12.2,21.4,6093
10,Oct,13.62,9.6,17.3,5248
11,Nov,9.36,4.5,13.7,4291
12,Dec,7.1,1.8,11.6,3736
