calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,23.15,20.5,25.4,6340
2,Feb,24.3,21.9,26.4,5424
3,Mar,23.98,21.51,26.2,5952
4,Apr,22.52,19.9,25.1,5596
5,May,20.51,17.9,23.1,5456
6,Jun,19.08,16.49,21.8,5280
7,Jul,18.16,15.5,20.9,5640
8,Aug,17.83,15.2,20.6,5952
9,Sep,18.16,15.5,20.9,5952
10,Oct,18.61,15.8,21.4,6448
11,Nov,19.78,17.1,22.3,6240
12,Dec,21.34,18.8,23.7,6448
