calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,15.66,8.9,22.8,5348
2,Feb,16.36,9.5,24.2,4972
3,Mar,17.51,11.0,25.0,5977
4,Apr,19.72,12.8,27.1,6240
5,May,20.6,14.2,27.3,6885
6,Jun,23.31,16.5,29.7,7183
7,Jul,25.89,18.7,32.1,7211
8,Aug,27.51,20.2,33.8,6448
9,Sep,26.59,18.9,34.1,5976
10,Oct,23.56,16.2,31.1,5716
11,Nov,19.43,12.1,27.0,4800
12,Dec,15.51,9.1,22.2,4960
