calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,5.91,0.0,17.45,312.63,297.89,324.56,19.21,17.3,20.95,65.2,54.0,75.0,11.4,29.6
2,2,Feb,4.74,0.0,13.0,294.0,276.47,307.64,19.63,17.3,22.2,60.5,46.0,73.0,10.0,32.8
3,3,Mar,1.56,0.0,3.1,344.05,335.41,352.44,21.36,19.0,23.8,53.68,38.0,67.0,12.1,32.7
4,4,Apr,0.29,0.0,1.2,366.37,353.21,372.31,23.15,20.3,25.91,50.7,32.9,64.0,13.1,37.2
5,5,May,1.01,0.0,3.6,393.12,381.66,398.83,24.99,22.3,28.0,48.72,33.5,60.0,13.8,39.9
6,6,Jun,4.16,0.0,8.65,384.34,375.12,390.0,27.35,24.49,29.8,52.46,38.0,64.0,15.4,38.9
7,7,Jul,19.19,1.85,47.8,394.6,385.5,402.46,29.66,27.65,31.4,55.64,44.0,68.0,19.8,40.7
8,8,Aug,45.0,15.85,89.3,371.91,357.72,383.1,30.27,28.5,32.0,62.02,50.0,76.0,23.9,40.8
9,9,Sep,72.02,13.85,120.45,334.62,316.35,347.04,29.25,27.2,31.3,67.33,53.0,81.0,19.4,40.1
10,10,Oct,25.4,0.5,37.25,340.14,328.16,351.64,27.5,24.9,30.0,62.61,49.5,74.5,17.5,38.0
11,11,Nov,14.59,0.0,38.75,301.62,288.7,311.96,24.01,21.7,26.61,64.35,52.0,75.0,14.1,34.6
12,12,Dec,8.31,0.1,33.95,301.93,282.16,318.74,20.67,18.1,22.9,66.61,55.0,76.0,12.0,30.9
