calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,9.66,4.3,13.7,4779
2,Feb,10.82,4.9,15.3,4672
3,Mar,13.12,7.9,17.7,6001
4,Apr,16.16,10.7,21.1,6352
5,May,19.5,14.0,25.0,7352
6,Jun,24.98,18.5,31.2,7200
7,Jul,28.1,21.7,33.8,7391
8,Aug,28.43,22.6,33.9,6788
9,Sep,23.71,18.3,28.8,6080
10,Oct,19.49,14.5,24.0,5456
11,Nov,14.77,9.8,19.0,4627
12,Dec,10.78,5.3,15.0,4464
