calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,39.5,9.55,70.25,242.34,225.24,262.38,8.51,5.8,11.3,75.69,61.5,87.0,-1.6,20.5
2,2,Feb,36.01,8.85,67.85,242.17,210.35,268.22,9.37,6.2,12.2,75.94,62.0,88.0,-2.3,21.9
3,3,Mar,58.34,14.55,96.8,305.1,268.87,334.78,11.43,8.7,13.85,75.59,62.0,87.0,-1.8,26.4
4,4,Apr,59.61,16.55,128.35,326.76,301.39,357.35,13.9,11.5,16.11,75.89,65.9,86.0,2.1,27.2
5,5,May,49.43,20.6,81.75,387.81,369.6,406.01,17.24,14.35,20.15,75.5,66.0,84.0,7.5,31.5
6,6,Jun,33.72,12.95,62.9,393.67,375.41,407.9,21.89,18.6,25.3,72.26,59.0,82.0,12.5,35.6
7,7,Jul,33.41,8.7,56.5,414.55,398.27,426.79,24.62,22.3,26.6,72.16,63.0,80.0,16.2,37.0
8,8,Aug,45.11,22.6,74.3,381.73,369.35,400.48,24.7,22.05,27.2,74.15,64.0,83.0,15.1,36.2
9,9,Sep,92.43,53.95,131.2,307.77,291.9,323.24,21.41,18.8,23.8,77.97,68.0,86.0,11.1,30.3
10,10,Oct,96.16,39.55,152.55,279.4,260.43,292.49,17.98,15.0,20.7,80.24,69.5,89.0,5.3,29.0
11,11,Nov,63.73,15.8,118.4,230.45,207.91,250.91,13.0,9.1,16.6,77.39,62.0,89.0,2.0,26.5
12,12,Dec,32.09,2.5,70.5,234.03,217.49,247.18,9.65,7.1,12.35,78.41,66.0,89.0,0.2,22.1
