calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute
1,1,Jan,52.18,14.75,89.1,198.54,145.13,243.96,5.11,0.8,9.65,73.12,58.0,87.0,-8.7,21.5
2,2,Feb,66.82,21.45,101.65,163.32,120.72,198.16,6.26,2.2,10.88,75.44,62.1,89.0,-5.2,25.2
3,3,Mar,86.55,37.55,147.45,221.93,193.84,248.22,10.52,6.45,15.45,74.81,61.0,88.0,-3.6,31.0
4,4,Apr,94.83,42.85,163.8,240.16,199.31,287.14,15.48,11.49,19.7,74.38,60.0,88.0,2.9,31.7
5,5,May,117.54,64.65,172.7,253.61,218.62,284.88,20.34,17.1,23.5,76.55,63.0,89.0,8.9,35.1
6,6,Jun,268.92,138.7,434.2,203.02,173.27,242.24,23.86,21.0,27.21,83.94,75.0,93.0,14.6,35.9
7,7,Jul,212.71,84.4,417.25,289.41,241.89,334.36,28.24,25.3,30.9,82.22,74.0,90.0,19.3,38.9
8,8,Aug,141.54,59.2,251.9,307.4,264.45,347.77,28.56,25.7,31.2,79.91,69.0,88.0,17.8,39.9
9,9,Sep,146.76,52.25,232.65,245.02,222.26,276.25,24.47,21.2,27.7,80.28,70.0,89.0,14.6,36.8
10,10,Oct,66.56,19.45,129.65,229.73,173.61,273.31,19.2,15.7,23.15,75.45,65.0,86.0,7.7,36.4
11,11,Nov,63.05,12.85,110.1,194.89,165.93,230.77,13.89,9.49,18.1,74.68,60.0,88.1,-3.3,27.9
12,12,Dec,40.73,9.2,78.45,211.6,176.82,245.4,6.96,2.35,11.8,71.4,56.0,87.0,-7.5,23.1
