calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temp_min_mean,temperature_2m_max_absolute,temp_max_mean,temperature_2m_mean_min,temperature_2m_mean_max
1,1,Jan,6.586666666666668,0.0,20.239999999999995,293.0347659259259,278.43977333333333,304.6734388888889,19.290967741935482,17.2,21.3,64.75698924731182,50.0,76.0,11.0,15.956774193548386,30.3,23.058494623655914,11.0,30.3
2,2,Feb,5.326666666666666,0.0,14.519999999999996,283.4521238888889,266.46103055555557,298.01198944444445,19.71933962264151,17.2,22.8,60.50471698113208,44.300000000000004,73.0,10.0,15.88443396226415,34.1,23.950943396226414,10.0,34.1
3,3,Mar,1.34,0.0,3.919999999999999,333.7966225925926,325.12865166666666,342.247195,21.688602150537637,19.0,24.5,52.06881720430108,32.400000000000006,66.60000000000002,11.6,17.081290322580642,34.7,26.59698924731183,11.6,34.7
4,4,Apr,0.45999999999999996,0.0,1.9399999999999997,348.5068618518519,336.8495388888889,354.31845444444446,23.48355555555555,20.4,26.6,49.39555555555555,29.0,64.0,13.0,18.19911111111111,38.1,29.212222222222223,13.0,38.1
5,5,May,0.8000000000000002,0.0,0.6999999999999998,382.5652670370371,373.00204333333335,387.3247372222222,25.306236559139784,22.5,28.6,47.729032258064514,31.0,60.0,14.2,19.56021505376344,40.6,31.484301075268817,14.2,40.6
6,6,Jun,5.093333333333334,0.0,12.7,376.490285925926,366.8246877777778,382.9090066666667,27.751777777777775,24.590000000000003,30.8,51.14888888888889,33.0,64.0,15.2,22.46622222222222,40.8,33.75666666666667,15.2,40.8
7,7,Jul,10.84,1.8200000000000003,14.74,384.4251711111111,376.8190544444444,391.0358572222222,29.92215053763441,27.84,32.0,55.23440860215054,42.0,68.60000000000002,19.8,25.489032258064512,41.0,35.0341935483871,19.8,41.0
8,8,Aug,44.199999999999996,11.6,82.27999999999999,352.13816999999995,338.44036555555556,365.5741083333333,30.35483870967742,28.4,32.3,62.410752688172046,49.0,76.60000000000002,23.9,26.562795698924734,41.3,34.79010752688173,23.9,41.3
9,9,Sep,74.20666666666668,20.1,139.32,323.5031072222222,311.68332999999996,335.83134611111115,29.270444444444447,27.19,31.71,67.52,53.0,81.0,19.1,25.788888888888888,41.3,33.33577777777777,19.1,41.3
10,10,Oct,26.033333333333335,0.24000000000000002,40.66,319.42588685185177,308.14611222222226,330.64051722222223,27.504301075268817,24.8,30.3,62.62795698924731,49.0,75.60000000000002,17.5,23.6247311827957,38.9,31.772258064516134,17.5,38.9
11,11,Nov,13.906666666666666,0.0,31.499999999999996,291.13739592592594,278.3097955555556,299.8018411111111,23.92177777777778,21.5,26.71,64.51333333333334,51.0,76.0,14.0,20.549333333333333,35.4,27.65488888888889,14.0,35.4
12,12,Dec,7.546666666666667,0.0,26.93999999999999,285.56702666666666,266.772265,299.2332588888889,20.544086021505375,18.040000000000003,22.9,66.28602150537634,53.0,77.0,11.3,17.436559139784947,31.8,24.13978494623656,11.3,31.8
