calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,2.1,-2.7,6.4,3824
2,Feb,2.48,-2.5,6.7,4352
3,Mar,4.85,0.4,9.0,5918
4,Apr,8.51,4.1,13.1,6827
5,May,12.95,8.3,18.0,8100
6,Jun,16.7,12.69,20.8,8160
7,Jul,18.64,14.8,23.0,8303
8,Aug,18.5,15.0,22.0,7455
9,Sep,15.85,12.3,19.5,6093
10,Oct,11.42,8.1,14.7,5148
11,Nov,7.19,2.8,11.1,3986
12,Dec,3.77,-0.9,7.8,3472
