calendar_month,time,daytime_temperature,daytime_temperature_p10,daytime_temperature_p90,daylight_hours_sampled
1,Jan,23.87,21.9,25.6,5456
2,Feb,23.48,21.2,25.5,5152
3,Mar,23.58,21.4,25.8,5952
4,Apr,24.49,22.5,26.3,5760
5,May,25.09,23.0,27.0,6810
6,Jun,25.93,23.8,28.0,6720
7,Jul,26.54,24.4,28.6,6739
8,Aug,27.16,25.0,29.2,6208
9,Sep,27.19,25.1,29.3,5760
10,Oct,26.64,24.6,28.6,5828
11,Nov,25.46,23.4,27.4,5280
12,Dec,24.39,22.3,26.2,5172
