calendar_month,month,time,precipitation_sum,precipitation_sum_p10,precipitation_sum_p90,sunshine_hours,sunshine_hours_p10,sunshine_hours_p90,temperature_2m_mean,temperature_2m_mean_p10,temperature_2m_mean_p90,relative_humidity_2m_mean,relative_humidity_2m_mean_p10,relative_humidity_2m_mean_p90,temperature_2m_min_absolute,temperature_2m_max_absolute,temperature_2m_mean_min,temperature_2m_mean_max
1,1,Jan,59.846666666666664,18.62,106.84,219.0766998148148,195.18637666666666,252.914965,11.59032258064516,8.7,14.5,81.28387096774193,69.0,92.0,1.7,19.7,1.7,19.7
2,2,Feb,59.75333333333334,6.66,148.66,230.38831259259263,184.97788722222222,250.527435,12.018867924528301,9.4,14.5,77.50943396226415,64.0,89.0,1.6,22.6,1.6,22.6
3,3,Mar,66.01333333333334,21.240000000000002,139.79999999999998,291.7297137037037,258.7058127777778,319.8061672222222,13.522795698924732,11.3,15.9,75.19354838709677,62.0,88.0,3.7,26.4,3.7,26.4
4,4,Apr,56.919999999999995,19.28,97.79999999999998,324.7336966666666,303.38155555555556,346.17646333333334,15.588,12.7,18.7,74.51555555555555,62.0,86.0,7.4,30.9,7.4,30.9
5,5,May,38.13333333333333,9.88,79.1,376.5057003703704,361.7111116666667,388.46222611111114,18.25333333333333,14.9,21.9,69.8752688172043,56.0,82.60000000000002,9.1,34.0,9.1,34.0
6,6,Jun,14.080000000000002,2.38,24.66,383.1480987037037,361.6981911111111,396.93120444444446,20.392000000000003,17.4,24.110000000000003,69.10888888888888,57.0,79.0,12.0,39.2,12.0,39.2
7,7,Jul,2.493333333333333,0.1,6.259999999999999,400.1299214814815,388.7644994444444,410.11972055555555,22.42215053763441,19.9,25.76,66.96774193548387,54.0,77.0,13.1,39.5,13.1,39.5
8,8,Aug,1.9333333333333333,0.0,5.5,374.81981407407403,359.3063988888889,385.08866222222224,22.892473118279568,20.7,25.9,66.5010752688172,53.0,78.0,15.1,41.7,15.1,41.7
9,9,Sep,34.559999999999995,2.8400000000000003,83.63999999999999,319.84083000000004,303.7420627777778,333.06057,21.508444444444443,19.0,24.9,70.25777777777778,52.900000000000006,85.0,12.3,38.0,12.3,38.0
10,10,Oct,79.58,44.46,116.26,268.3218327777778,240.16121388888888,296.85311,19.004086021505376,16.3,22.060000000000002,75.85591397849463,59.0,89.0,9.4,33.0,9.4,33.0
11,11,Nov,87.18,21.14,155.73999999999998,217.8746905555555,190.28768,245.75238777777776,14.788222222222222,11.9,17.6,80.64666666666666,69.0,91.0,4.9,23.8,4.9,23.8
12,12,Dec,75.39333333333335,16.72,159.23999999999998,216.4231401851852,194.46900555555555,243.70036,12.57806451612903,9.540000000000001,15.5,82.65591397849462,71.0,92.0,2.9,20.7,2.9,20.7
